Crack Number;0;1;2;3;4;5;6;;
Mean Distance Between Paths (mm);0.438440792;0.384826072;0.371667147;0.388762499;0.219132136;0.560733672;12.94143823;;
Standard Deviation (mm);0.02129744;0.022703775;0.026127504;0.013972793;0.006327336;0.023922906;0.518109912;;
Coefficient of Variation;4.857540798;5.899749651;7.02981255;3.594172083;2.887452258;4.266358088;4.003495611;;
KS stat RSME;0.17411636;0.174465435;0.238938024;0.143059636;0.189673404;0.107894441;0.29166263;;0.40925
Mean Manual Processing Time (s);43.879;43.845;36.062;33.989;32.698;29.244;29.187;;0.6914
Standard Deviation (s);3.49195776;5.600345079;3.352088304;2.86187159;3.457920763;2.312017301;2.859734428;;
Relative Standard Deviation (%);7.958152557;12.77305298;9.295347746;8.419993499;10.57532804;7.905954387;9.797973167;;
KS stat Time;0.084484301;0.141545785;0.124685458;0.144283341;0.131495337;0.098261293;0.110923378;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Crack Number;0;1;2;3;4;5;6;;
Mean Distance Between Paths (mm);0.438;0.385;0.372;0.389;0.219;0.561;12.941;;
Standard Deviation (mm);0.021;0.023;0.026;0.014;0.006;0.024;0.518;;
Coefficient of Variation;4.858;5.9;7.03;3.594;2.887;4.266;4.003;;
